"","caseid","year","degree","consci"
"36482",36482,1998,"High School","A Great Deal"
"36484",36484,1998,"Junior College","Only Some"
"36486",36486,1998,"High School","Hardly Any"
"36487",36487,1998,"High School","Only Some"
"36488",36488,1998,"High School","Only Some"
"36489",36489,1998,"Graduate","A Great Deal"
"36490",36490,1998,"Bachelor","Only Some"
"36492",36492,1998,"Junior College","A Great Deal"
"36495",36495,1998,"High School","A Great Deal"
"36496",36496,1998,"Lt High School","Only Some"
"36497",36497,1998,"Lt High School","Only Some"
"36498",36498,1998,"High School","Only Some"
"36501",36501,1998,"High School","A Great Deal"
"36503",36503,1998,"High School","Hardly Any"
"36504",36504,1998,"High School","Only Some"
"36505",36505,1998,"High School","Only Some"
"36507",36507,1998,"Bachelor","Only Some"
"36510",36510,1998,"Lt High School","A Great Deal"
"36511",36511,1998,"Bachelor","Only Some"
"36512",36512,1998,"Junior College","A Great Deal"
"36514",36514,1998,"Junior College","Only Some"
"36515",36515,1998,"Junior College","Only Some"
"36518",36518,1998,"High School","A Great Deal"
"36519",36519,1998,"Junior College","A Great Deal"
"36521",36521,1998,"Lt High School","Only Some"
"36522",36522,1998,"High School","Only Some"
"36523",36523,1998,"High School","Only Some"
"36524",36524,1998,"Lt High School","A Great Deal"
"36525",36525,1998,"High School","Hardly Any"
"36527",36527,1998,"High School","A Great Deal"
"36528",36528,1998,"Bachelor","A Great Deal"
"36530",36530,1998,"Bachelor","A Great Deal"
"36532",36532,1998,"High School","A Great Deal"
"36533",36533,1998,"Bachelor","A Great Deal"
"36534",36534,1998,"High School","Only Some"
"36535",36535,1998,"Graduate","Only Some"
"36536",36536,1998,"High School","Only Some"
"36538",36538,1998,"Bachelor","Only Some"
"36539",36539,1998,"High School","Only Some"
"36540",36540,1998,"High School","A Great Deal"
"36541",36541,1998,"High School","A Great Deal"
"36544",36544,1998,"High School","A Great Deal"
"36546",36546,1998,"Lt High School","A Great Deal"
"36547",36547,1998,"High School","A Great Deal"
"36549",36549,1998,"Lt High School","A Great Deal"
"36550",36550,1998,"High School","Only Some"
"36553",36553,1998,"Bachelor","A Great Deal"
"36555",36555,1998,"High School","A Great Deal"
"36556",36556,1998,"High School","A Great Deal"
"36558",36558,1998,"High School","A Great Deal"
"36560",36560,1998,"Bachelor","A Great Deal"
"36564",36564,1998,"High School","Only Some"
"36565",36565,1998,"Bachelor","Only Some"
"36566",36566,1998,"Bachelor","A Great Deal"
"36568",36568,1998,"Graduate","A Great Deal"
"36569",36569,1998,"Bachelor","Only Some"
"36570",36570,1998,"Junior College","A Great Deal"
"36572",36572,1998,"High School","Only Some"
"36573",36573,1998,"Bachelor","A Great Deal"
"36574",36574,1998,"High School","Only Some"
"36575",36575,1998,"High School","A Great Deal"
"36576",36576,1998,"High School","Only Some"
"36577",36577,1998,"High School","Only Some"
"36578",36578,1998,"Lt High School","A Great Deal"
"36580",36580,1998,"High School","A Great Deal"
"36581",36581,1998,"High School","A Great Deal"
"36583",36583,1998,"Bachelor","Only Some"
"36584",36584,1998,"High School","A Great Deal"
"36585",36585,1998,"Lt High School","Only Some"
"36586",36586,1998,"Junior College","A Great Deal"
"36591",36591,1998,"High School","Only Some"
"36594",36594,1998,"Junior College","Only Some"
"36595",36595,1998,"High School","A Great Deal"
"36596",36596,1998,"High School","Only Some"
"36597",36597,1998,"High School","A Great Deal"
"36598",36598,1998,"High School","Only Some"
"36599",36599,1998,"Lt High School","Only Some"
"36600",36600,1998,"Lt High School","A Great Deal"
"36601",36601,1998,"High School","Only Some"
"36602",36602,1998,"High School","A Great Deal"
"36604",36604,1998,"High School","A Great Deal"
"36605",36605,1998,"High School","A Great Deal"
"36608",36608,1998,"Junior College","A Great Deal"
"36609",36609,1998,"High School","Only Some"
"36614",36614,1998,"Bachelor","Only Some"
"36615",36615,1998,"Lt High School","Only Some"
"36616",36616,1998,"High School","A Great Deal"
"36617",36617,1998,"Lt High School","Hardly Any"
"36618",36618,1998,"Lt High School","Only Some"
"36621",36621,1998,"Lt High School","Only Some"
"36623",36623,1998,"Bachelor","A Great Deal"
"36624",36624,1998,"Bachelor","A Great Deal"
"36628",36628,1998,"Graduate","A Great Deal"
"36633",36633,1998,"High School","Hardly Any"
"36636",36636,1998,"High School","A Great Deal"
"36637",36637,1998,"High School","A Great Deal"
"36638",36638,1998,"Bachelor","Only Some"
"36639",36639,1998,"High School","A Great Deal"
"36640",36640,1998,"High School","Only Some"
"36641",36641,1998,"High School","A Great Deal"
"36642",36642,1998,"Bachelor","A Great Deal"
"36644",36644,1998,"High School","Only Some"
"36645",36645,1998,"High School","Only Some"
"36648",36648,1998,"Junior College","Only Some"
"36649",36649,1998,"High School","A Great Deal"
"36650",36650,1998,"Bachelor","A Great Deal"
"36652",36652,1998,"Graduate","A Great Deal"
"36653",36653,1998,"High School","Hardly Any"
"36654",36654,1998,"High School","A Great Deal"
"36655",36655,1998,"Bachelor","Hardly Any"
"36656",36656,1998,"High School","Only Some"
"36657",36657,1998,"High School","Only Some"
"36660",36660,1998,"High School","Only Some"
"36661",36661,1998,"Lt High School","A Great Deal"
"36662",36662,1998,"High School","Hardly Any"
"36664",36664,1998,"High School","A Great Deal"
"36666",36666,1998,"Bachelor","A Great Deal"
"36667",36667,1998,"High School","Only Some"
"36669",36669,1998,"Bachelor","A Great Deal"
"36671",36671,1998,"High School","Only Some"
"36672",36672,1998,"Lt High School","Only Some"
"36674",36674,1998,"Lt High School","Hardly Any"
"36676",36676,1998,"Lt High School","Only Some"
"36678",36678,1998,"High School","Only Some"
"36679",36679,1998,"High School","Hardly Any"
"36680",36680,1998,"High School","Only Some"
"36681",36681,1998,"Lt High School","Only Some"
"36682",36682,1998,"Bachelor","Only Some"
"36685",36685,1998,"Lt High School","Only Some"
"36686",36686,1998,"High School","Hardly Any"
"36687",36687,1998,"Lt High School","Only Some"
"36689",36689,1998,"High School","Only Some"
"36690",36690,1998,"Graduate","A Great Deal"
"36693",36693,1998,"High School","Only Some"
"36695",36695,1998,"High School","Hardly Any"
"36696",36696,1998,"Bachelor","A Great Deal"
"36699",36699,1998,"High School","Only Some"
"36702",36702,1998,"Graduate","Only Some"
"36704",36704,1998,"High School","Only Some"
"36705",36705,1998,"High School","Only Some"
"36706",36706,1998,"Graduate","A Great Deal"
"36707",36707,1998,"High School","Only Some"
"36708",36708,1998,"High School","Only Some"
"36709",36709,1998,"Bachelor","Hardly Any"
"36710",36710,1998,"High School","A Great Deal"
"36711",36711,1998,"High School","Hardly Any"
"36712",36712,1998,"Bachelor","A Great Deal"
"36714",36714,1998,"High School","A Great Deal"
"36716",36716,1998,"Lt High School","A Great Deal"
"36718",36718,1998,"Junior College","Only Some"
"36719",36719,1998,"High School","Only Some"
"36723",36723,1998,"High School","A Great Deal"
"36724",36724,1998,"Lt High School","Only Some"
"36729",36729,1998,"High School","Only Some"
"36730",36730,1998,"High School","Only Some"
"36734",36734,1998,"Junior College","A Great Deal"
"36735",36735,1998,"High School","Only Some"
"36737",36737,1998,"High School","A Great Deal"
"36738",36738,1998,"Lt High School","Only Some"
"36739",36739,1998,"High School","A Great Deal"
"36742",36742,1998,"Lt High School","Only Some"
"36743",36743,1998,"High School","Only Some"
"36744",36744,1998,"High School","Only Some"
"36745",36745,1998,"High School","Only Some"
"36746",36746,1998,"Junior College","A Great Deal"
"36747",36747,1998,"High School","A Great Deal"
"36749",36749,1998,"Bachelor","Only Some"
"36751",36751,1998,"Bachelor","Only Some"
"36752",36752,1998,"Bachelor","A Great Deal"
"36753",36753,1998,"Bachelor","Only Some"
"36754",36754,1998,"Graduate","Only Some"
"36755",36755,1998,"High School","Only Some"
"36757",36757,1998,"Junior College","A Great Deal"
"36759",36759,1998,"Bachelor","A Great Deal"
"36762",36762,1998,"High School","Only Some"
"36764",36764,1998,"High School","Only Some"
"36766",36766,1998,"High School","Only Some"
"36767",36767,1998,"Graduate","A Great Deal"
"36768",36768,1998,"High School","Only Some"
"36769",36769,1998,"High School","A Great Deal"
"36770",36770,1998,"Graduate","A Great Deal"
"36773",36773,1998,"Bachelor","A Great Deal"
"36774",36774,1998,"High School","Hardly Any"
"36775",36775,1998,"Junior College","A Great Deal"
"36778",36778,1998,"High School","Only Some"
"36780",36780,1998,"Lt High School","Hardly Any"
"36781",36781,1998,"Lt High School","A Great Deal"
"36783",36783,1998,"Lt High School","Only Some"
"36785",36785,1998,"High School","Only Some"
"36787",36787,1998,"Lt High School","Only Some"
"36788",36788,1998,"High School","Only Some"
"36794",36794,1998,"Lt High School","A Great Deal"
"36795",36795,1998,"Lt High School","Only Some"
"36797",36797,1998,"Bachelor","A Great Deal"
"36798",36798,1998,"Bachelor","A Great Deal"
"36802",36802,1998,"Junior College","Only Some"
"36803",36803,1998,"High School","A Great Deal"
"36804",36804,1998,"High School","Hardly Any"
"36806",36806,1998,"High School","A Great Deal"
"36807",36807,1998,"High School","Only Some"
"36810",36810,1998,"High School","Only Some"
"36811",36811,1998,"High School","A Great Deal"
"36813",36813,1998,"High School","A Great Deal"
"36814",36814,1998,"Graduate","A Great Deal"
"36815",36815,1998,"High School","A Great Deal"
"36818",36818,1998,"High School","Only Some"
"36819",36819,1998,"High School","Only Some"
"36820",36820,1998,"High School","Only Some"
"36821",36821,1998,"Bachelor","A Great Deal"
"36824",36824,1998,"High School","Only Some"
"36825",36825,1998,"High School","A Great Deal"
"36826",36826,1998,"High School","Only Some"
"36827",36827,1998,"Bachelor","A Great Deal"
"36828",36828,1998,"High School","A Great Deal"
"36832",36832,1998,"High School","Only Some"
"36833",36833,1998,"Bachelor","A Great Deal"
"36835",36835,1998,"Junior College","A Great Deal"
"36836",36836,1998,"High School","A Great Deal"
"36837",36837,1998,"Graduate","Only Some"
"36838",36838,1998,"Junior College","Only Some"
"36840",36840,1998,"High School","Hardly Any"
"36842",36842,1998,"High School","A Great Deal"
"36843",36843,1998,"Bachelor","A Great Deal"
"36844",36844,1998,"High School","A Great Deal"
"36845",36845,1998,"Bachelor","Only Some"
"36846",36846,1998,"Bachelor","A Great Deal"
"36847",36847,1998,"High School","Only Some"
"36848",36848,1998,"Bachelor","Only Some"
"36850",36850,1998,"Bachelor","Hardly Any"
"36852",36852,1998,"High School","Hardly Any"
"36853",36853,1998,"High School","Only Some"
"36854",36854,1998,"High School","A Great Deal"
"36855",36855,1998,"High School","A Great Deal"
"36857",36857,1998,"Bachelor","A Great Deal"
"36858",36858,1998,"High School","Only Some"
"36859",36859,1998,"High School","Hardly Any"
"36862",36862,1998,"Junior College","A Great Deal"
"36863",36863,1998,"High School","Only Some"
"36864",36864,1998,"High School","Only Some"
"36866",36866,1998,"High School","Only Some"
"36867",36867,1998,"Bachelor","A Great Deal"
"36868",36868,1998,"Graduate","Only Some"
"36869",36869,1998,"Bachelor","A Great Deal"
"36870",36870,1998,"Bachelor","A Great Deal"
"36872",36872,1998,"Graduate","A Great Deal"
"36875",36875,1998,"High School","Only Some"
"36876",36876,1998,"High School","A Great Deal"
"36877",36877,1998,"High School","A Great Deal"
"36878",36878,1998,"Junior College","A Great Deal"
"36880",36880,1998,"High School","A Great Deal"
"36881",36881,1998,"High School","A Great Deal"
"36882",36882,1998,"Bachelor","A Great Deal"
"36886",36886,1998,"High School","Hardly Any"
"36887",36887,1998,"Graduate","A Great Deal"
"36888",36888,1998,"High School","A Great Deal"
"36890",36890,1998,"Graduate","A Great Deal"
"36891",36891,1998,"Graduate","A Great Deal"
"36892",36892,1998,"High School","Only Some"
"36894",36894,1998,"Junior College","Only Some"
"36897",36897,1998,"Bachelor","Only Some"
"36899",36899,1998,"Bachelor","A Great Deal"
"36904",36904,1998,"Lt High School","A Great Deal"
"36905",36905,1998,"Bachelor","A Great Deal"
"36907",36907,1998,"Bachelor","A Great Deal"
"36908",36908,1998,"Bachelor","Only Some"
"36910",36910,1998,"High School","Only Some"
"36911",36911,1998,"Bachelor","Only Some"
"36912",36912,1998,"Lt High School","Only Some"
"36913",36913,1998,"High School","Only Some"
"36915",36915,1998,"Bachelor","A Great Deal"
"36916",36916,1998,"Bachelor","A Great Deal"
"36918",36918,1998,"Lt High School","Hardly Any"
"36919",36919,1998,"High School","Only Some"
"36922",36922,1998,"High School","A Great Deal"
"36923",36923,1998,"High School","A Great Deal"
"36925",36925,1998,"High School","A Great Deal"
"36926",36926,1998,"High School","A Great Deal"
"36927",36927,1998,"Lt High School","A Great Deal"
"36929",36929,1998,"High School","A Great Deal"
"36931",36931,1998,"High School","A Great Deal"
"36932",36932,1998,"High School","A Great Deal"
"36935",36935,1998,"Bachelor","Only Some"
"36936",36936,1998,"Bachelor","Only Some"
"36939",36939,1998,"High School","A Great Deal"
"36940",36940,1998,"Bachelor","A Great Deal"
"36942",36942,1998,"High School","A Great Deal"
"36943",36943,1998,"Lt High School","Only Some"
"36945",36945,1998,"Graduate","Only Some"
"36946",36946,1998,"Bachelor","A Great Deal"
"36948",36948,1998,"Bachelor","A Great Deal"
"36949",36949,1998,"Bachelor","A Great Deal"
"36951",36951,1998,"Junior College","A Great Deal"
"36952",36952,1998,"Lt High School","Hardly Any"
"36953",36953,1998,"High School","Only Some"
"36956",36956,1998,"Lt High School","A Great Deal"
"36958",36958,1998,"High School","Only Some"
"36959",36959,1998,"High School","Only Some"
"36961",36961,1998,"High School","Only Some"
"36962",36962,1998,"High School","Only Some"
"36963",36963,1998,"High School","Only Some"
"36964",36964,1998,"Bachelor","A Great Deal"
"36965",36965,1998,"High School","Only Some"
"36966",36966,1998,"High School","Only Some"
"36967",36967,1998,"High School","A Great Deal"
"36969",36969,1998,"Junior College","Only Some"
"36970",36970,1998,"Bachelor","A Great Deal"
"36972",36972,1998,"High School","A Great Deal"
"36973",36973,1998,"Lt High School","Hardly Any"
"36975",36975,1998,"Lt High School","A Great Deal"
"36976",36976,1998,"Lt High School","Only Some"
"36979",36979,1998,"High School","A Great Deal"
"36980",36980,1998,"Lt High School","Only Some"
"36982",36982,1998,"High School","Only Some"
"36983",36983,1998,"Junior College","Only Some"
"36984",36984,1998,"Lt High School","A Great Deal"
"36986",36986,1998,"High School","Only Some"
"36988",36988,1998,"Junior College","Only Some"
"36990",36990,1998,"High School","Only Some"
"36992",36992,1998,"Junior College","Only Some"
"36994",36994,1998,"High School","A Great Deal"
"36995",36995,1998,"Junior College","A Great Deal"
"36997",36997,1998,"Bachelor","A Great Deal"
"36999",36999,1998,"High School","A Great Deal"
"37001",37001,1998,"High School","Only Some"
"37002",37002,1998,"High School","A Great Deal"
"37003",37003,1998,"High School","Only Some"
"37004",37004,1998,"High School","Only Some"
"37005",37005,1998,"High School","Only Some"
"37007",37007,1998,"High School","A Great Deal"
"37008",37008,1998,"High School","A Great Deal"
"37010",37010,1998,"Lt High School","A Great Deal"
"37011",37011,1998,"High School","A Great Deal"
"37012",37012,1998,"Junior College","A Great Deal"
"37013",37013,1998,"High School","Only Some"
"37014",37014,1998,"Lt High School","A Great Deal"
"37015",37015,1998,"High School","Only Some"
"37016",37016,1998,"High School","A Great Deal"
"37019",37019,1998,"Lt High School","Only Some"
"37020",37020,1998,"Junior College","A Great Deal"
"37022",37022,1998,"High School","Only Some"
"37023",37023,1998,"Lt High School","Only Some"
"37024",37024,1998,"High School","Only Some"
"37026",37026,1998,"Lt High School","Only Some"
"37028",37028,1998,"High School","Hardly Any"
"37029",37029,1998,"High School","Hardly Any"
"37031",37031,1998,"High School","Only Some"
"37033",37033,1998,"High School","A Great Deal"
"37034",37034,1998,"High School","Only Some"
"37035",37035,1998,"High School","A Great Deal"
"37037",37037,1998,"High School","Only Some"
"37038",37038,1998,"Lt High School","Only Some"
"37039",37039,1998,"High School","Hardly Any"
"37041",37041,1998,"High School","Only Some"
"37042",37042,1998,"Lt High School","A Great Deal"
"37043",37043,1998,"High School","Only Some"
"37045",37045,1998,"Lt High School","A Great Deal"
"37047",37047,1998,"High School","Only Some"
"37050",37050,1998,"Lt High School","Only Some"
"37051",37051,1998,"High School","Only Some"
"37052",37052,1998,"High School","A Great Deal"
"37054",37054,1998,"High School","Only Some"
"37057",37057,1998,"High School","Only Some"
"37058",37058,1998,"High School","Only Some"
"37059",37059,1998,"Junior College","A Great Deal"
"37060",37060,1998,"High School","Hardly Any"
"37062",37062,1998,"High School","A Great Deal"
"37063",37063,1998,"High School","Only Some"
"37065",37065,1998,"High School","Only Some"
"37066",37066,1998,"Bachelor","Only Some"
"37068",37068,1998,"Junior College","A Great Deal"
"37069",37069,1998,"High School","A Great Deal"
"37070",37070,1998,"Bachelor","A Great Deal"
"37071",37071,1998,"High School","A Great Deal"
"37074",37074,1998,"Bachelor","A Great Deal"
"37075",37075,1998,"High School","A Great Deal"
"37076",37076,1998,"Bachelor","A Great Deal"
"37077",37077,1998,"Graduate","A Great Deal"
"37080",37080,1998,"High School","Only Some"
"37081",37081,1998,"High School","Only Some"
"37082",37082,1998,"Lt High School","A Great Deal"
"37083",37083,1998,"High School","A Great Deal"
"37085",37085,1998,"High School","Only Some"
"37086",37086,1998,"High School","Hardly Any"
"37087",37087,1998,"High School","A Great Deal"
"37088",37088,1998,"High School","Only Some"
"37091",37091,1998,"High School","Only Some"
"37093",37093,1998,"High School","Only Some"
"37096",37096,1998,"High School","Hardly Any"
"37098",37098,1998,"Lt High School","Only Some"
"37099",37099,1998,"High School","Only Some"
"37101",37101,1998,"Lt High School","Only Some"
"37102",37102,1998,"Lt High School","A Great Deal"
"37103",37103,1998,"Lt High School","A Great Deal"
"37104",37104,1998,"High School","A Great Deal"
"37106",37106,1998,"High School","Only Some"
"37108",37108,1998,"High School","Only Some"
"37109",37109,1998,"High School","A Great Deal"
"37110",37110,1998,"Junior College","Only Some"
"37112",37112,1998,"High School","A Great Deal"
"37114",37114,1998,"High School","Only Some"
"37115",37115,1998,"Graduate","Only Some"
"37116",37116,1998,"High School","A Great Deal"
"37119",37119,1998,"Graduate","A Great Deal"
"37120",37120,1998,"Graduate","A Great Deal"
"37121",37121,1998,"High School","Only Some"
"37122",37122,1998,"Bachelor","Only Some"
"37126",37126,1998,"Bachelor","Only Some"
"37127",37127,1998,"Bachelor","A Great Deal"
"37128",37128,1998,"Graduate","A Great Deal"
"37131",37131,1998,"Bachelor","A Great Deal"
"37133",37133,1998,"Bachelor","Only Some"
"37134",37134,1998,"High School","A Great Deal"
"37138",37138,1998,"Bachelor","A Great Deal"
"37139",37139,1998,"Bachelor","Only Some"
"37142",37142,1998,"High School","A Great Deal"
"37144",37144,1998,"Lt High School","A Great Deal"
"37146",37146,1998,"High School","A Great Deal"
"37147",37147,1998,"Lt High School","Only Some"
"37148",37148,1998,"Bachelor","Only Some"
"37149",37149,1998,"High School","Only Some"
"37151",37151,1998,"Junior College","A Great Deal"
"37152",37152,1998,"High School","A Great Deal"
"37153",37153,1998,"Bachelor","Only Some"
"37156",37156,1998,"High School","A Great Deal"
"37157",37157,1998,"High School","Hardly Any"
"37158",37158,1998,"Bachelor","Only Some"
"37159",37159,1998,"High School","A Great Deal"
"37160",37160,1998,"High School","A Great Deal"
"37162",37162,1998,"Lt High School","Only Some"
"37164",37164,1998,"High School","Only Some"
"37165",37165,1998,"Lt High School","Hardly Any"
"37166",37166,1998,"High School","Only Some"
"37167",37167,1998,"High School","Only Some"
"37168",37168,1998,"Lt High School","Only Some"
"37170",37170,1998,"High School","Hardly Any"
"37171",37171,1998,"Lt High School","Only Some"
"37172",37172,1998,"Lt High School","Hardly Any"
"37173",37173,1998,"Lt High School","Only Some"
"37174",37174,1998,"Lt High School","Only Some"
"37177",37177,1998,"High School","A Great Deal"
"37178",37178,1998,"High School","A Great Deal"
"37179",37179,1998,"High School","A Great Deal"
"37180",37180,1998,"Bachelor","Only Some"
"37181",37181,1998,"Bachelor","A Great Deal"
"37183",37183,1998,"Bachelor","Only Some"
"37185",37185,1998,"Bachelor","Only Some"
"37186",37186,1998,"Bachelor","Only Some"
"37188",37188,1998,"Graduate","A Great Deal"
"37191",37191,1998,"Junior College","Only Some"
"37192",37192,1998,"High School","Only Some"
"37194",37194,1998,"High School","Hardly Any"
"37196",37196,1998,"Bachelor","Only Some"
"37197",37197,1998,"Bachelor","Only Some"
"37199",37199,1998,"Lt High School","Only Some"
"37200",37200,1998,"Lt High School","A Great Deal"
"37201",37201,1998,"High School","Only Some"
"37202",37202,1998,"High School","A Great Deal"
"37203",37203,1998,"Lt High School","A Great Deal"
"37204",37204,1998,"High School","A Great Deal"
"37205",37205,1998,"Junior College","A Great Deal"
"37208",37208,1998,"Bachelor","A Great Deal"
"37209",37209,1998,"Graduate","A Great Deal"
"37210",37210,1998,"Graduate","A Great Deal"
"37212",37212,1998,"Junior College","A Great Deal"
"37213",37213,1998,"High School","A Great Deal"
"37214",37214,1998,"High School","Only Some"
"37216",37216,1998,"Bachelor","Only Some"
"37217",37217,1998,"High School","A Great Deal"
"37218",37218,1998,"Junior College","Only Some"
"37219",37219,1998,"High School","A Great Deal"
"37220",37220,1998,"Bachelor","Only Some"
"37222",37222,1998,"High School","A Great Deal"
"37224",37224,1998,"High School","Only Some"
"37226",37226,1998,"High School","Hardly Any"
"37227",37227,1998,"High School","A Great Deal"
"37229",37229,1998,"Bachelor","Only Some"
"37230",37230,1998,"Junior College","Only Some"
"37231",37231,1998,"High School","A Great Deal"
"37232",37232,1998,"High School","A Great Deal"
"37233",37233,1998,"Bachelor","A Great Deal"
"37234",37234,1998,"Graduate","A Great Deal"
"37236",37236,1998,"High School","Only Some"
"37239",37239,1998,"High School","A Great Deal"
"37240",37240,1998,"High School","Hardly Any"
"37242",37242,1998,"High School","Only Some"
"37244",37244,1998,"Bachelor","A Great Deal"
"37245",37245,1998,"High School","A Great Deal"
"37247",37247,1998,"High School","A Great Deal"
"37248",37248,1998,"High School","A Great Deal"
"37249",37249,1998,"High School","A Great Deal"
"37250",37250,1998,"High School","Only Some"
"37254",37254,1998,"Bachelor","Only Some"
"37255",37255,1998,"Junior College","Only Some"
"37256",37256,1998,"Graduate","A Great Deal"
"37258",37258,1998,"High School","Only Some"
"37259",37259,1998,"Lt High School","A Great Deal"
"37260",37260,1998,"High School","Only Some"
"37262",37262,1998,"Bachelor","Only Some"
"37263",37263,1998,"High School","A Great Deal"
"37264",37264,1998,"Graduate","Only Some"
"37265",37265,1998,"High School","Hardly Any"
"37266",37266,1998,"High School","Only Some"
"37267",37267,1998,"High School","A Great Deal"
"37268",37268,1998,"High School","Only Some"
"37270",37270,1998,"Junior College","A Great Deal"
"37271",37271,1998,"High School","A Great Deal"
"37272",37272,1998,"High School","A Great Deal"
"37274",37274,1998,"High School","Only Some"
"37277",37277,1998,"High School","Only Some"
"37278",37278,1998,"High School","Only Some"
"37283",37283,1998,"High School","A Great Deal"
"37284",37284,1998,"Graduate","A Great Deal"
"37285",37285,1998,"Bachelor","A Great Deal"
"37287",37287,1998,"Graduate","A Great Deal"
"37288",37288,1998,"High School","A Great Deal"
"37289",37289,1998,"High School","A Great Deal"
"37290",37290,1998,"High School","A Great Deal"
"37291",37291,1998,"High School","A Great Deal"
"37294",37294,1998,"Bachelor","Only Some"
"37295",37295,1998,"Junior College","Only Some"
"37296",37296,1998,"High School","A Great Deal"
"37299",37299,1998,"High School","Only Some"
"37300",37300,1998,"Junior College","Only Some"
"37302",37302,1998,"High School","Only Some"
"37303",37303,1998,"Lt High School","A Great Deal"
"37306",37306,1998,"High School","A Great Deal"
"37308",37308,1998,"Junior College","Only Some"
"37309",37309,1998,"Bachelor","A Great Deal"
"37310",37310,1998,"High School","Hardly Any"
"37311",37311,1998,"High School","A Great Deal"
"37312",37312,1998,"Bachelor","Only Some"
"37313",37313,1998,"Junior College","Only Some"
"37314",37314,1998,"High School","A Great Deal"
"37315",37315,1998,"High School","Only Some"
"37316",37316,1998,"Lt High School","Hardly Any"
"37318",37318,1998,"High School","A Great Deal"
"37321",37321,1998,"Junior College","A Great Deal"
"37322",37322,1998,"Lt High School","Only Some"
"37323",37323,1998,"Bachelor","Only Some"
"37327",37327,1998,"Junior College","A Great Deal"
"37328",37328,1998,"Lt High School","A Great Deal"
"37330",37330,1998,"High School","Only Some"
"37332",37332,1998,"High School","Hardly Any"
"37333",37333,1998,"High School","Only Some"
"37334",37334,1998,"High School","Only Some"
"37337",37337,1998,"High School","A Great Deal"
"37338",37338,1998,"High School","Only Some"
"37339",37339,1998,"High School","Only Some"
"37340",37340,1998,"Graduate","Only Some"
"37342",37342,1998,"Bachelor","Only Some"
"37343",37343,1998,"Bachelor","A Great Deal"
"37344",37344,1998,"High School","Only Some"
"37346",37346,1998,"Bachelor","A Great Deal"
"37348",37348,1998,"Bachelor","A Great Deal"
"37349",37349,1998,"Bachelor","A Great Deal"
"37351",37351,1998,"Graduate","Only Some"
"37353",37353,1998,"High School","Only Some"
"37354",37354,1998,"High School","Hardly Any"
"37356",37356,1998,"High School","A Great Deal"
"37357",37357,1998,"Junior College","A Great Deal"
"37359",37359,1998,"High School","Only Some"
"37361",37361,1998,"High School","A Great Deal"
"37362",37362,1998,"High School","Only Some"
"37372",37372,1998,"Graduate","Only Some"
"37373",37373,1998,"Bachelor","A Great Deal"
"37374",37374,1998,"Graduate","Only Some"
"37376",37376,1998,"Graduate","Only Some"
"37377",37377,1998,"Bachelor","A Great Deal"
"37378",37378,1998,"Junior College","A Great Deal"
"37379",37379,1998,"Graduate","A Great Deal"
"37381",37381,1998,"Bachelor","A Great Deal"
"37383",37383,1998,"Lt High School","A Great Deal"
"37387",37387,1998,"Bachelor","Only Some"
"37388",37388,1998,"Junior College","Only Some"
"37389",37389,1998,"Bachelor","A Great Deal"
"37390",37390,1998,"High School","Only Some"
"37391",37391,1998,"Lt High School","A Great Deal"
"37392",37392,1998,"Lt High School","A Great Deal"
"37393",37393,1998,"High School","A Great Deal"
"37394",37394,1998,"High School","A Great Deal"
"37401",37401,1998,"Graduate","Only Some"
"37402",37402,1998,"Junior College","A Great Deal"
"37404",37404,1998,"Bachelor","Only Some"
"37405",37405,1998,"Graduate","Only Some"
"37406",37406,1998,"High School","Only Some"
"37408",37408,1998,"High School","A Great Deal"
"37409",37409,1998,"High School","A Great Deal"
"37410",37410,1998,"Bachelor","A Great Deal"
"37411",37411,1998,"High School","Only Some"
"37412",37412,1998,"Bachelor","A Great Deal"
"37413",37413,1998,"Bachelor","Only Some"
"37414",37414,1998,"Bachelor","Only Some"
"37416",37416,1998,"High School","Hardly Any"
"37417",37417,1998,"High School","A Great Deal"
"37418",37418,1998,"High School","Only Some"
"37419",37419,1998,"Bachelor","A Great Deal"
"37420",37420,1998,"Bachelor","A Great Deal"
"37421",37421,1998,"Graduate","A Great Deal"
"37424",37424,1998,"Bachelor","A Great Deal"
"37426",37426,1998,"Graduate","A Great Deal"
"37427",37427,1998,"High School","A Great Deal"
"37428",37428,1998,"High School","Only Some"
"37431",37431,1998,"Bachelor","A Great Deal"
"37433",37433,1998,"High School","Only Some"
"37434",37434,1998,"Junior College","Only Some"
"37435",37435,1998,"Bachelor","A Great Deal"
"37436",37436,1998,"Junior College","Only Some"
"37437",37437,1998,"High School","A Great Deal"
"37438",37438,1998,"Bachelor","A Great Deal"
"37439",37439,1998,"Junior College","Only Some"
"37440",37440,1998,"High School","Only Some"
"37441",37441,1998,"Lt High School","A Great Deal"
"37444",37444,1998,"High School","Only Some"
"37445",37445,1998,"High School","Only Some"
"37447",37447,1998,"Lt High School","Only Some"
"37448",37448,1998,"Bachelor","Only Some"
"37450",37450,1998,"Lt High School","Only Some"
"37451",37451,1998,"Lt High School","A Great Deal"
"37452",37452,1998,"High School","Only Some"
"37453",37453,1998,"Lt High School","Only Some"
"37454",37454,1998,"Lt High School","Only Some"
"37455",37455,1998,"Lt High School","Only Some"
"37456",37456,1998,"High School","A Great Deal"
"37457",37457,1998,"High School","A Great Deal"
